"id";"SIRET";"secteur";"public";"public_employer_type";"Rue";"Ville";"Code postal";"Filière"
3847;"89338184800017";"Audiovisuel";FAUX;;"44 Rue du General de Gaulle (Tourlaville) - Pôle Immages, Place Hippolyte Mars 50120 cherbourg en cotentin - ATTENTION! Adresse de stage Pôle Image Place Hippolyte Mars 50120 -  Pôle Immages, Place Hippolyte Mars 50120 cherbourg en cotentin - ATTENTION! Adresse de stage Pôle Image Place Hippolyte...";"Cherbourg-en-Cotentin";"50110";"seconde_only"
4165;"45364078100028";"Culture et patrimoine";FAUX;;"15 Rue Auguste Chabrières";"Paris";"75015";"seconde_only"
4639;"84054146000027";"Comptabilité, gestion, ressources humaines";FAUX;;"83 RUE PERRIN SOLLIERS ";"MARSEILLE 6";"13006";"seconde_only"
4869;"34363454900020";"Sport";FAUX;;"7 Rue du Commandant Riviere";"Nevers";"58000";"seconde_troisieme_or_quatrieme"
8754;"21100260500346";"Enseignement";VRAI;"Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche";"24 RUE JEAN JAURES ";"NOGENT-SUR-SEINE";"10400";"seconde_only"
10287;"21860200100024";"Enseignement";VRAI;"Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche";"39 Rue du Bois de la Jarte";"Pressac";"86460";"seconde_only"
11360;"39893784700026";"Industrie alimentaire";FAUX;;"3041 Route De Tulle - La Maisonneuve";"Sainte-Féréole";"19270";"seconde_only"
11903;"95450343901719";"Industrie, ingénierie industrielle";FAUX;;"35 RUE JOSEPH MONIER ";"RUEIL-MALMAISON";"92500";"seconde_only"
20966;"82373748100304";"Hôtellerie, restauration";FAUX;;"3 Rue de la Mare Neuve";"Évry-Courcouronnes";"91080";"seconde_only"
21355;"52817161400035";"Comptabilité, gestion, ressources humaines";FAUX;;"  245 RUE DU MARAIS ";"CHALLES-LES-EAUX";"73064";"seconde_only"
29441;"79030038800010";"Tourisme";FAUX;;"null PLACE BESSIERES ";"CAHORS";"46000";"seconde_only"
31046;"91849679500017";"Agriculture";FAUX;;"  911  LA GRANDE RUE D’AMEREY ";"XERTIGNY";"88530";"seconde_troisieme_or_quatrieme"
35246;"80434144433311";"Sport";FAUX;;"96 Rue de la Benauge";"Bordeaux";"33100";"seconde_only"
35315;"31932691400029";"Environnement";FAUX;;"  3901 ROUTE DE ROANNE ";"VOUGY";"42338";"seconde_only"
35316;"13002895400019";"Agriculture";VRAI;"Ministère du Travail, de la Santé, des Solidarités et des Familles";"140 AV MARCEL UNAL";"MONTAUBAN";"82000";"seconde_only"
35317;"25540270300037";"Enseignement";VRAI;"Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche";"null RTE NATIONALE ";"VANDELAINVILLE";"54890";"seconde_only"
35318;"89501482700011";"Sport";FAUX;;"    30 32 RUE LUCIEN GODEFROY ";"CUIGY-EN-BRAY";"60187";"seconde_only"
35319;"17110431800240";"Enseignement";VRAI;"Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche";"Rue des Ecoles";"Arzens";"11290";"seconde_only"
35320;"19670041300012";"Enseignement";VRAI;"Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche";"10 Rue Henri Meck";"Molsheim";"67120";"seconde_only"
35321;"82227108600016";"Environnement";FAUX;;"14 Impasse Pierre Georges Latecoere";"Issoire";"63500";"seconde_only"
35322;"82227108600016";"Environnement";FAUX;;"14 Impasse Pierre Georges Latecoere";"Issoire";"63500";"seconde_only"
35323;"82227108600016";"Environnement";FAUX;;"14 Impasse Pierre Georges Latecoere";"Issoire";"63500";"seconde_only"
35324;"21690094400036";"Enseignement";VRAI;"Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche";"Grande Rue";"Grézieu-la-Varenne";"69290";"seconde_only"
35325;"78057766400011";"Hôtellerie, restauration";FAUX;;"  30 RUE DE MEAUX ";"SENLIS";"60612";"seconde_only"
35326;"44839718200040";"Sport";FAUX;;"5 IMP SUMIAN ";"MARSEILLE 14";"13014";"seconde_only"
35327;"44839718200040";"Sport";FAUX;;"5 Impasse sumian";"Marseille";"13014";"seconde_only"
35329;"21950250700128";"Enseignement";VRAI;"Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche";"6 Rue de la Mairie";"Fosses";"95470";"seconde_only"
35330;;"Enseignement";VRAI;"Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche";"6 Rue de la Mairie";"Fosses";"95470";"seconde_only"
35331;"21880400300026";"Enseignement";VRAI;"Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche";"65 RUE DE L'EGLISE ";"ROUVRES-EN-XAINTOIS";"88500";"seconde_only"
35332;"08813638839088";"Enseignement";VRAI;"Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche";"1 Rue de la Croix";"Uxegney";"88390";"seconde_only"
35333;"21540417900024";"Enseignement";VRAI;"Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche";"null PL DE L'EGLISE ";"PAREY-SAINT-CESAIRE";"54330";"seconde_only"
35334;"17270431400019";"Enseignement";VRAI;"Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche";"6 Avenue Victor Hugo";"Nonancourt";"27320";"seconde_only"
