uai;type_etab;nom_etablissement;adresse;code_postal;commune;position;voie_generale;voie_techno;voie_pro;etab_mere;nbeleves;voie_gt;rentree_scolaire;nombre_d_eleves;2ndes_gt;_merge;nbeleves_est;2des_est
9830484J;Lycée;Lycée agricole Michel Rocard;;98825.0;Pouembout;;0.0;1.0;1.0;;;True;;;;left_only;646.0;146.0
0820559M;Lycée;Lycée général, technologique et professionnel agricole de Montauban;1915 route de Bordeaux;82000.0;Montauban;44.03232875150177, 1.3154221508373432;1.0;1.0;1.0;;;True;;;;left_only;646.0;207.0
0331863W;Lycée;Lycée agro-viticole de Libourne-Montagne;36 route de Goujon;33570.0;Montagne;44.955755420863824, -0.17659978378679578;1.0;1.0;1.0;;;True;;;;left_only;646.0;207.0
0311262D;Lycée;Lycée général et technologique agricole de Toulouse-Auzeville;2 route de Narbonne;31326.0;Castanet-Tolosan;43.53342406567168, 1.4861994549358315;1.0;1.0;0.0;;;True;;;;left_only;646.0;207.0
7200009X;Lycée;Lycée Giocante de Casabianca;Vallée du Fango;20293.0;Bastia;42.703259744755094, 9.443753999224715;1.0;1.0;0.0;;1185.0;True;2022.0;1185.0;410.0;both;1185.0;410.0
0383072H;Lycée;Lycée polyvalent privé Saint-Marc;rue Vernay;38312.0;Nivolas-Vermelle;45.56465144484297, 5.306408439026458;1.0;1.0;1.0;;1388.0;True;2022.0;1262.0;457.0;both;1262.0;457.0
0350774B;Lycée;Lycée Saint-Sauveur;16 place Saint Sauveur;35603.0;Redon;47.64991448594527, -2.083469402656444;1.0;1.0;0.0;;852.0;True;2022.0;852.0;255.0;both;852.0;255.0
0440166S;Lycée;Lycée Notre-Dame de Toutes Aides;12 rue des Epinettes;44319.0;Nantes;47.22836530022264, -1.519516261723193;1.0;0.0;0.0;;596.0;True;2022.0;596.0;245.0;both;596.0;245.0
0350029S;Lycée;Lycée Joliot Curie;144 boulevard de Vitré;35703.0;Rennes;48.125687227428486, -1.6481306020702366;1.0;1.0;0.0;;776.0;True;2022.0;776.0;189.0;both;776.0;189.0
0331488N;Lycée;Lycée privé Saint-Elme;50 boulevard Deganne;33120.0;Arcachon;44.65537882486955, -1.15258186496156;1.0;0.0;0.0;;381.0;True;2022.0;381.0;145.0;both;381.0;145.0
0610006A;Lycée;Lycée polyvalent Mézeray Gabriel;6 place Robert Dugué;61200.0;Argentan;48.74472330166484, -0.014840183970246753;1.0;1.0;1.0;;912.0;True;2022.0;614.0;237.0;both;614.0;237.0
0610790C;Lycée;Lycée agricole public de Sées;Rue du 11 Novembre 1918;61500.0;Sées;48.593143071747384, 0.17154993744153474;0.0;1.0;1.0;;;True;;;;left_only;646.0;146.0
0290159R;Lycée;Lycée Saint-Sébastien - Les 2 Rives;4 rue H de Guébriant;29208.0;Landerneau;48.45169323544028, -4.257799739722499;1.0;1.0;0.0;;507.0;True;2022.0;507.0;206.0;both;507.0;206.0
0781884Z;Lycée;Lycée Condorcet;Allée Condorcet;78520.0;Limay;48.986012883327085, 1.7509844529392136;1.0;1.0;1.0;;1276.0;True;2022.0;952.0;357.0;both;952.0;357.0
0331636Z;Lycée;Lycée Jean Moulin;1 boulevard François Mauriac;33210.0;Langon;44.54751300648586, -0.2561600379585702;1.0;1.0;0.0;;1159.0;True;2022.0;1159.0;485.0;both;1159.0;485.0
0762169V;Lycée;Lycée Pablo Neruda;Chemin des Bruyères;76204.0;Dieppe;49.90644781690003, 1.0676345211466627;1.0;1.0;0.0;;430.0;True;2022.0;430.0;174.0;both;430.0;174.0
