name,city,department,zipcode,code_uai,coordinates,street,created_at,updated_at,city_tsv,kind,visible,internship_agreement_online,fetched_school_phone
Henri IV,Béziers,Hérault,34500,0340118U,POINT (3.2098811 43.3434764),,2019-08-07 10:51:45 +0200,2024-01-04 14:51:10 +0100,'bezi':1 'henr':2 'iv':3,rep,true,false,
Montesoro,Bastia,Haute-Corse,20600,7200013B,POINT (9.436690600000002 42.6720912),,2019-08-07 10:51:46 +0200,2024-01-04 14:51:10 +0100,'basti':1 'montesoro':2,rep,true,false,
Lamartine,Toulouse,Haute-Garonne,31300,0311327Z,POINT (1.4337286 43.5950277),,2019-08-07 10:51:47 +0200,2024-01-04 14:51:10 +0100,'lamartin':2 'toulous':1,qpv,true,false,
Gérard Philippe,Pessac,Gironde,33600,0332191C,POINT (-0.6223780999999999 44.7993225),,2019-08-07 10:51:49 +0200,2024-01-04 14:51:11 +0100,'gerard':2 'pessac':1 'philipp':3,qpv,true,false,
Jean Moulin,Le Portel,Pas-de-Calais,62480,0622095R,POINT (1.5803013 50.7048143),,2019-08-28 13:21:17 +0200,2024-01-04 12:40:35 +0100,'jean':3 'le':1 'moulin':4 'portel':2,rep,true,false,
Massey,Tarbes,Hautes-Pyrénées,65000,0650033H,POINT (0.074023 43.2367),53 Rue Massey,2019-11-13 15:55:56 +0100,2024-01-04 12:40:35 +0100,'massey':2 'tarb':1,qpv_proche,true,false,
Paul Éluard,Guyancourt,Yvelines,78280,0780581H,POINT (2.06436 48.774),2 Rue des Graviers,2019-09-22 13:42:20 +0200,2024-01-04 12:40:35 +0100,'eluard':3 'guyancourt':1 'paul':2,qpv_proche,true,false,
Millevoye,Abbeville,Somme,80100,0800002T,POINT (1.84019 50.1047),38 Boulevard Vauban,2019-09-22 15:46:48 +0200,2024-01-04 12:40:35 +0100,'abbevill':1 'millevoy':2,qpv_proche,true,false,
Les Escholiers de la Mosson,Montpellier,Hérault,34080,0340996Y,POINT (3.81921 43.6327),Avenue du Biterrois,2019-08-07 10:51:42 +0200,2024-01-04 12:40:35 +0100,'de':4 'escholi':3 'la':5 'le':2 'montpelli':1 'mosson':6,rep_plus,true,false,
Clémence Isaure,Toulouse,Haute-Garonne,31300,0310037X,POINT (1.43152 43.5965),35 Allée Charles de Fitte,2019-09-22 18:09:03 +0200,2024-01-04 12:40:36 +0100,'clemenc':2 'isaur':3 'toulous':1,qpv_proche,true,false,
Lamartine,Bischheim,Bas-Rhin,67800,0671822S,POINT (7.73853 48.6141),9 Rue Lamartine,2019-09-26 17:27:42 +0200,2024-01-04 12:40:36 +0100,'bischheim':1 'lamartin':2,rep,true,false,
Pierre Adt,Forbach,Moselle,57600,0572180K,POINT (6.89284 49.1815),Rue de Remsing,2019-09-26 17:33:22 +0200,2024-01-04 12:40:36 +0100,'adt':3 'forbach':1 'pierr':2,rep_plus,true,false,
Jules Ferry,Mantes-la-Jolie,Yvelines,78200,0780708W,POINT (1.71205 48.9938),5 Rue des Écoles,2019-09-22 14:47:47 +0200,2024-01-04 12:40:36 +0100,'ferry':6 'jol':4 'jul':5 'la':3 'mant':2 'mantes-la-jol':1,qpv_proche,true,false,
Jean Zay,Niort,Deux-Sèvres,79000,0790027A,POINT (-0.477675 46.3180802),,2019-08-28 13:21:18 +0200,2024-01-04 12:40:36 +0100,'jean':2 'niort':1 'zay':3,rep,true,false,
Maximilien de Sully,Sully-sur-Loire,Loiret,45600,0450790P,POINT (2.38599 47.7636),26 Route de Gien,2019-09-22 17:46:46 +0200,2024-01-04 12:40:36 +0100,"'de':6 'loir':4 'maximilien':5 'sully':2,7 'sully-sur-loir':1 'sur':3",qpv_proche,true,false,
