uai;type_etab;nom_etablissement;adresse;code_postal;commune;voie_generale;voie_techno;nbeleves;zone_ep
0650139Y;Lycée;Lycée général et technologique agricole Jean Monnet;11 bis promenade des Acacias;65500;Vic-en-Bigorre;0.0;1.0;;
0951509Z;Collège;Annexe du collège La Salle-Saint Rosaire de Sarcelles;5 rue Gambetta;95140;Garges-lès-Gonesse;0.0;0.0;;
0350918H;Lycée;Lycée les Vergers;4 rue des Murets;35120;Dol-de-Bretagne;0.0;1.0;;
0595124Z;Lycée;Institut d'Hazebrouck;69 rue du Violon d'Or;59190;Hazebrouck;0.0;1.0;;
0673079H;Collège;Ecole européenne de Strasbourg;2 rue Peter Schwarber;67015;Strasbourg;0.0;0.0;;
0692165D;Lycée;Lycée Elie Vignal;18 rue de Margnolles;69300;Caluire-et-Cuire;1.0;1.0;;
0100734U;Lycée;Lycée agricole privé Sainte-Maure;105 route de Mery sur Seine;10150;Sainte-Maure;1.0;1.0;;
0580055V;Lycée;Lycée d'enseignement général et technologique agricole de Nevers-Challuy;243 route de Lyon;58000;Challuy;1.0;1.0;;
0740114X;Collège;Collège privé Saint Vincent;55 route de Bossey;74160;Collonges-sous-Salève;0.0;0.0;;
0340022P;Collège;Collège Basile Rouaix;Route de Béziers;34460;Cessenon-sur-Orb;0.0;0.0;;
0875087G;Collège;Collège privé Saint-Jean;26 rue Eugène Varlin;87016;Limoges;0.0;0.0;;
0755840R;Collège;Collège privé Catherine Labouré;29 rue Gassendi;75014;Paris;0.0;0.0;;
0021525X;Collège;Collège Saint-Nicolas;9 rue du Grand Bosquet;2600;Villers-Cotterêts;0.0;0.0;;
0443021V;Collège;Collège de Chaumes-en-Retz;Rue du Stade;44320;Chaumes-en-Retz;0.0;0.0;;
0211217J;Lycée;Lycée d'enseignement général et technologique de la Barotte Haute Côte-d'Or;Route de Langres;21400;Châtillon-sur-Seine;0.0;1.0;;
0690521S;Lycée;Lycée Sainte-Marie (annexe du lycée de Lyon);1 rue Caroline Aigle;69330;Meyzieu;1.0;1.0;;
0451788Z;Collège;Collège Simone Veil;6 rue de Segray;45300;Pithiviers;0.0;0.0;;
0772944G;Collège;Collège Marie-Amélie Le Fur;1 impasse Louis Braille;77170;Coubert;0.0;0.0;;
9720908E;Collège;Séminaire-Collège Sainte-Marie - Annexe de Rivière-Salée;Quartier Trenelle;97215;Rivière-Salée;0.0;0.0;;
0590258K;Lycée;Lycée Gaston Berger;Avenue Gaston Berger;59016;Lille;0.0;1.0;;
0511196Y;Lycée;Lycée de la Nature et du Vivant de Somme Vesle;Route départementale 3;51460;Somme-Vesle;1.0;1.0;;
0831109E;Lycée;Campus Provence Verte;Chemin du Prugnon;83470;Saint-Maximin-la-Sainte-Baume;0.0;1.0;;
0342266D;Collège;Cité scolaire Françoise Combes (collège);4 rue du 81e régiment d'infanterie;34090;Montpellier;0.0;0.0;;
0220107X;Lycée;Lycée Notre-Dame de Campostal;Place du Bourg Coz;22110;Rostrenen;1.0;1.0;;
0480514Y;Lycée;Lycée général technologique et professionnel agricole François Rabelais;Civergols;48200;Saint-Chély-d'Apcher;0.0;1.0;;
0260791U;Lycée;Lycée horticole Terre d'horizon, pôle d'enseignement du végétal, du paysage et de l'environnement de la Drôme;1414 chemin de Rosey Ouest;26105;Romans-sur-Isère;0.0;1.0;;
0932783V;Lycée;Lycée Joséphine Baker;2 rue d'Amiens;93380;Pierrefitte-sur-Seine;1.0;0.0;;
0750428H;Lycée;Lycée polyvalent Jacques Monod;12 rue Victor Cousin;75005;Paris;0.0;1.0;;
0810833R;Lycée;Lycée agricole privé de Touscayrats;Touscayrats;81110;Verdalle;0.0;1.0;;
0134252B;Lycée;Lycée régional Jean D'Ormesson;860 avenue Jean Mermoz;13831;Châteaurenard;1.0;0.0;;
0942443V;Lycée;Lycée GT Saint-Joseph;55 rue de Verdun;94800;Villejuif;1.0;0.0;;
0623723K;Lycée;Campus agro-environnemental 62 site de Radinghem;58 rue Principale;62310;Radinghem;0.0;1.0;;
0331683A;Lycée;Lycée agricole de Bazas Terres de Gascogne;2 avenue de la République;33430;Bazas;0.0;1.0;;
0350778F;Lycée;Lycée Assomption - site de Retiers;20 square Charles de Gaulle;35240;Retiers;1.0;0.0;;
9740738J;Lycée;Lycée Hôtelier Christian Antou;63 rue Auguste Vinson;97867;Saint-Paul;0.0;1.0;;
0932260B;Lycée;Lycée polyvalent Georges Brassens;Rue des Bancs Publics;93420;Villepinte;0.0;1.0;;
9710722H;Lycée;Lycée polyvalent Carnot;28 rue Jean Jaurès;97110;Pointe-à-Pitre;0.0;1.0;;
0580076T;Lycée;Lycée technologique et professionnel privé Simone Dounon;5 rue Marcelin Berthelot;58200;Cosne-Cours-sur-Loire;0.0;1.0;;
0772946J;Collège;Collège Jeanne Bonnardel Beguin;23 bis rue Cléret;77230;Moussy-le-Neuf;0.0;0.0;;
0820922G;Collège;Collège Simone Veil;5968 A route d'Auch;82600;Verdun-sur-Garonne;0.0;0.0;;
0131323T;Lycée;Lycée de Provence;42 boulevard Emile Sicard;13272;Marseille;1.0;0.0;;
0110045P;Lycée;Lycée privé polyvalent Saint-Louis;77 rue Aimé Ramond;11000;Carcassonne;1.0;1.0;;
0753941B;Lycée;Lycée privé Gerson;31 rue de la Pompe;75016;Paris;1.0;0.0;;
0710001R;Lycée;Lycée polyvalent Bonaparte;Place du Champ de Mars - pôle général;71403;Autun;1.0;0.0;;
9710774P;Lycée;Lycée général et technologique Faustin Fléret;Quartier Espérance;97111;Morne-à-l'Eau;1.0;1.0;;
0540058V;Lycée;Lycée Jacques Marquette;Place Foch;54700;Pont-à-Mousson;1.0;1.0;;
9720070U;Lycée;Lycée général et technologique de l'Union;74 rue du Professeur Raymond Garcin;97200;Fort-de-France;1.0;0.0;;
0260022H;Lycée;Lycée général Albert Triboulet;Avenue Gambetta;26102;Romans-sur-Isère;1.0;0.0;;
7200073S;Lycée;Lycée Jeanne d'Arc;15 boulevard Benoite Danesi;20297;Bastia;1.0;0.0;;
0801874C;Lycée;Lycée Saint-Riquier;50 chaussée Jules Ferry;80094;Amiens;1.0;1.0;;
9741185V;Lycée;Lycée général et technologique le Verger;1 avenue des Corossols;97438;Sainte-Marie;1.0;1.0;;
0782557F;Lycée;Lycée Jean-Baptiste Poquelin;72 rue Léon Désoyer;78100;Saint-Germain-en-Laye;1.0;1.0;;
0171428K;Lycée;Lycée de la mer et du littoral;Rue William Bertrand;17560;Bourcefranc-le-Chapus;1.0;1.0;;
0790058J;Lycée;Lycée privé Saint-Charles;1 rue Jules Michelet;79101;Thouars;1.0;1.0;;
0771238C;Lycée;Lycée polyvalent Saint-Aspais;36 rue Saint-Barthélemy;77007;Melun;1.0;1.0;;
0741532N;Lycée;Lycée général et technologique de l'Albanais;Rue du Lycée;74152;Rumilly;1.0;1.0;;
0310044E;Lycée;Lycée polyvalent Déodat de Séverac;26 boulevard Déodat de Séverac;31076;Toulouse;1.0;1.0;;
0772290W;Lycée;Lycée Sainte-Croix;1 rue des Jacobins;77160;Provins;1.0;0.0;;
0783657B;Lycée;Lycée Saint-Augustin;39 rue Grande Fontaine;78100;Saint-Germain-en-Laye;1.0;0.0;;
0601832R;Lycée;Lycée Jean Monnet;10 rue des Cèdres;60800;Crépy-en-Valois;1.0;1.0;;
0131436R;Lycée;Lycée polyvalent modèle électronique;233 boulevard Saint Marcel;13396;Marseille;0.0;1.0;;
0110019L;Lycée;Lycée polyvalent Jacques Ruffié;Allée François Mitterand;11303;Limoux;1.0;1.0;;
0940129E;Lycée;Lycée polyvalent Jean Macé;34 rue Jules Ferry;94407;Vitry-sur-Seine;1.0;1.0;;
0540066D;Lycée;Lycée Louis Majorelle;16 rue Porte de Metz;54200;Toul;1.0;1.0;;
9741052A;Lycée;Lycée polyvalent Stella;Chemin départemental 11;97424;Saint-Leu;1.0;1.0;;
9720727H;Lycée;Lycée général et technologique Montgérald;Quartier Diaka Montgérald;97290;Le Marin;1.0;1.0;;
0690529A;Lycée;Lycée Déborde;72 rue Ney;69006;Lyon;1.0;0.0;;
0131747D;Lycée;Lycée polyvalent Auguste et Louis Lumière;Avenue Jules Ferry;13600;La Ciotat;1.0;1.0;;
0131549N;Lycée;Lycée Frédéric Joliot-Curie;Avenue des Goums;13400;Aubagne;1.0;1.0;;
0340881Y;Lycée;Lycée privé Notre-Dame de la Merci;62 cours Gambetta;34965;Montpellier;1.0;1.0;;
0932030B;Lycée;Lycée polyvalent Maurice Utrillo;152 rue Jean Durand;93240;Stains;1.0;1.0;;
0601823F;Lycée;Lycée François Truffaut;4 rue de Pontoise;60007;Beauvais;1.0;1.0;;
0511135G;Lycée;Lycée Notre-Dame Saint-Victor;11 rue Jean Chandon Moet;51200;Epernay;1.0;0.0;;
0511926S;Lycée;Lycée Marc Chagall;60 chaussée Saint Martin;51726;Reims;1.0;1.0;;
0131342N;Lycée;Lycée Saint-Charles Camas;21 rue du Camas;13392;Marseille;1.0;0.0;;
0753825A;Lycée;Lycée privé Morvan;68 rue de la Chaussée d'Antin;75009;Paris;1.0;0.0;;
0570211V;Lycée;Lycée Saint-Antoine;Chemin des Dames;57370;Phalsbourg;1.0;0.0;;
7200719U;Lycée;Lycée polyvalent du Fium'orbu;ZI Migliacciaro;20243;Prunelli-Di-Fiumorbo;1.0;1.0;;
0383069E;Lycée;Lycée général et technologique Camille Corot;454 rue Paul Claudel;38510;Morestel;1.0;1.0;;
0921365J;Lycée;Lycée Madeleine Daniélou;61-63 rue du Général de Miribel;92508;Rueil-Malmaison;1.0;0.0;;
0620113L;Lycée;Lycée Henri Darras;Chemin des Manufactures;62803;Liévin;1.0;1.0;;
9760127J;Lycée;Lycée Younoussa Bamana;;97600;Mamoudzou;1.0;1.0;;
0381803D;Lycée;Lycée général privé Externat Notre-Dame;43 avenue Marcelin Berthelot;38100;Grenoble;1.0;0.0;;
0470028A;Lycée;Lycée George Sand;Boulevard Pierre de Coubertin;47600;Nérac;1.0;1.0;;
0290338K;Lycée;Lycée Sainte-Anne;20 rue Lamotte Picquet;29200;Brest;1.0;0.0;;
0930127H;Lycée;Lycée Clémenceau;130 rue de Neuilly;93250;Villemomble;1.0;1.0;;
0783286Y;Lycée;Lycée Saint-Erembert;5 rue Salomon Reinach;78100;Saint-Germain-en-Laye;1.0;1.0;;
