Identifiant_de_l_etablissement,Nom_etablissement,Type_etablissement,Statut_public_prive,Segpa,Lycee_Agricole,Lycee_militaire,code_nature,libelle_nature,Code_type_contrat_prive,etablissement_mere,type_rattachement_etablissement_mere,
0291654R,Lycée Saint-Joseph,Lycée,Privé,0,0,0,,306,LYCEE POLYVALENT,0290132L,,
0341477W,Lycée d'enseignement agricole privé Bonne Terre,Lycée,Privé,0,1,0,,320,LYCEE PROFESSIONNEL,,,
0110942P,Lycée agricole - centre polyvalent de formation professionnelle la Rouatière,Lycée,Privé,0,1,0,,320,LYCEE PROFESSIONNEL,,,
0820724S,Lycée d'enseignement agricole privé Lestonnac,Lycée,Privé,0,1,0,,320,LYCEE PROFESSIONNEL,,,
0530048P,Lycée de l'Immaculée Conception,Lycée,Privé,0,0,0,,300,LYCEE ENSEIGNT GENERAL ET TECHNOLOGIQUE,0530061D,,
9720776L,Collège Adventiste Rama,Collège,Privé,0,0,0,,340,COLLEGE,9720498J,,
0301824V,Lycée agricole privé Institut Emmanuel d'Alzon - site de Vestric et Candiac,Lycée,Privé,0,1,0,,320,LYCEE PROFESSIONNEL,,,
0301324B,Lycée professionnel agricole privé de Meynes,Lycée,Privé,0,1,0,,320,LYCEE PROFESSIONNEL,,,
0340920R,Lycée privé polyvalent Turgot,Lycée,Privé,0,0,0,,320,LYCEE PROFESSIONNEL,0341385W,,
0772290W,Lycée Sainte-Croix,Lycée,Privé,0,0,0,,302,LYCEE D ENSEIGNEMENT GENERAL,0771176K,,
0692924D,Collège Saint-Thomas d'Aquin,Collège,Privé,0,0,0,,340,COLLEGE,0690541N,,
0070092M,Collège Notre-Dame,Collège,Privé,0,0,0,,340,COLLEGE,0070848J,,
0300109F,Lycée professionnel privé Pasteur,Lycée,Privé,0,0,0,,320,LYCEE PROFESSIONNEL,0301012M,,
0133866G,École secondaire privée Bnei Elazar,Collège,Privé,0,0,0,,340,COLLEGE,,,
0221673Z,École Saint-Ilan,Lycée,Privé,0,1,0,,320,LYCEE PROFESSIONNEL,,,
0762569E,Collège la Providence,Collège,Privé,0,0,0,,340,COLLEGE,0760026R,,
0260092J,Collège privé François Gondin,Collège,Privé,0,0,0,,340,COLLEGE,0260027N,,
0120059Z,Lycée général et technologique privé Saint-Gabriel,Lycée,Privé,0,0,0,,300,LYCEE ENSEIGNT GENERAL ET TECHNOLOGIQUE,0120025M,,
0753809H,Lycée privé Paul Claudel-d'Hulst,Lycée,Privé,0,0,0,,302,LYCEE D ENSEIGNEMENT GENERAL,0752912H,,
9710054G,Lycée Maîtrise de Massabielle,Lycée,Privé,0,0,0,,300,LYCEE ENSEIGNT GENERAL ET TECHNOLOGIQUE,9710686U,,
0141172Y,Lycée Marie Joseph,Lycée,Privé,0,0,0,,302,LYCEE D ENSEIGNEMENT GENERAL,0140043W,,
0110044N,Collège privé Jeanne d'Arc,Collège,Privé,0,0,0,,340,COLLEGE,0110007Y,,
0761330H,Collège Saint-Charles de Foucauld,Collège,Privé,0,0,0,,340,COLLEGE,0760046M,,
0720808M,Collège Saint-Michel,Collège,Privé,0,0,0,,340,COLLEGE,0721478R,,
